DateTimeOfCall,HourlyNotionalCost,IncidentNotionalCost,AnimalGroupParent,PropertyCategory,SpecialServiceTypeCategory,SpecialServiceType,Area
01/01/2009 03:01,255,510,Dog,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Ranelagh
01/01/2009 08:51,255,255,Fox,Outdoor Structure,Other animal assistance,Animal assistance involving livestock - Other action,Ranelagh
04/01/2009 10:07,255,255,Dog,Outdoor Structure,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Sutton
05/01/2009 12:27,255,255,Horse,Non Residential,Animal rescue from water,Animal rescue from water - Farm animal,Smithfield
06/01/2009 15:23,255,255,Ra^&it,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Perrystown
06/01/2009 19:30,255,255,Unknown - Heavy Livestock Animal,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Crumlin
07/01/2009 06:29,255,255,Dog,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Milltown
07/01/2009 11:55,255,255,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Belfield
07/01/2009 13:48,255,255,Squirrel,Dwelling,Animal rescue from height,Wild animal rescue from height,Ranelagh
07/01/2009 21:24,255,255,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Rathfarnham
08/01/2009 14:34,255,255,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Terenure
08/01/2009 19:23,255,510,Bird,Outdoor,Animal rescue from water,Animal rescue from water - Bird,Rathmines
09/01/2009 11:01,255,255,Dog,Road Vehicle,Other animal assistance,Animal assistance involving livestock - Other action,Templeogue
09/01/2009 11:18,255,255,Dog,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Crumlin
09/01/2009 12:40,255,255,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Dundrum
09/01/2009 13:43,255,255,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Ranelagh
09/01/2009 14:30,255,255,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Walkinstown
09/01/2009 14:39,255,255,D+g,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Leopardstown
10/01/2009 09:35,255,255,Unknown - Domestic Animal Or Pet,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
10/01/2009 10:09,255,255,Dog,Outdoor,Other animal assistance,Animal assistance involving livestock - Other action,Ranelagh
10/01/2009 11:27,255,255,Cat,Outdoor,Animal rescue from height,Animal rescue from height - Domestic pet,Templeogue
10/01/2009 12:26,255,255,Cat,Dwelling,Other animal assistance,Animal assistance involving livestock - Other action,Stepaside
10/01/2009 12:32,255,255,Dog,Outdoor,Animal rescue from below ground,Animal rescue from below ground - Domestic pet,Tallaght
10/01/2009 13:05,255,255,Cat,Non Residential,Other animal assistance,Animal assistance involving livestock - Other action,Crumlin
10/01/2009 13:28,255,255,Dog,Outdoor,Animal rescue from water,Animal rescue from water - Domestic pet,Clontarf
